N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
92.11 secs, 2 evals, 1 steps, fitness=4.718803053
167.67 secs, 4 evals, 2 steps, fitness=4.718803053
234.13 secs, 6 evals, 3 steps, fitness=4.718803053
332.21 secs, 8 evals, 4 steps, fitness=4.718803053
426.97 secs, 10 evals, 5 steps, fitness=4.718803053
519.13 secs, 12 evals, 6 steps, fitness=4.718803053
604.31 secs, 14 evals, 7 steps, fitness=4.718803053
702.46 secs, 16 evals, 8 steps, fitness=4.718803053
797.41 secs, 18 evals, 9 steps, fitness=4.718803053
886.31 secs, 20 evals, 10 steps, fitness=4.718803053
9858.56 secs, 228 evals, 141 steps, improv/step: 0.390 (last = 0.0000), fitness=1.650495096
9898.62 secs, 229 evals, 142 steps, improv/step: 0.387 (last = 0.0000), fitness=1.650495096
9939.95 secs, 230 evals, 143 steps, improv/step: 0.392 (last = 1.0000), fitness=1.650495096
9976.71 secs, 231 evals, 144 steps, improv/step: 0.389 (last = 0.0000), fitness=1.650495096
10018.33 secs, 233 evals, 145 steps, improv/step: 0.393 (last = 1.0000), fitness=1.650495096
10059.20 secs, 234 evals, 146 steps, improv/step: 0.397 (last = 1.0000), fitness=1.650495096
10103.80 secs, 235 evals, 147 steps, improv/step: 0.401 (last = 1.0000), fitness=1.650495096
10147.41 secs, 236 evals, 148 steps, improv/step: 0.405 (last = 1.0000), fitness=1.650495096
10194.87 secs, 237 evals, 149 steps, improv/step: 0.403 (last = 0.0000), fitness=1.650495096
10242.35 secs, 238 evals, 150 steps, improv/step: 0.400 (last = 0.0000), fitness=1.650495096
10290.86 secs, 239 evals, 151 steps, improv/step: 0.397 (last = 0.0000), fitness=1.650495096
10326.26 secs, 240 evals, 152 steps, improv/step: 0.401 (last = 1.0000), fitness=1.650495096
10418.84 secs, 242 evals, 153 steps, improv/step: 0.405 (last = 1.0000), fitness=1.650495096
10461.65 secs, 243 evals, 154 steps, improv/step: 0.403 (last = 0.0000), fitness=1.650495096
10506.58 secs, 244 evals, 155 steps, improv/step: 0.406 (last = 1.0000), fitness=1.650495096
10544.59 secs, 245 evals, 156 steps, improv/step: 0.410 (last = 1.0000), fitness=1.650495096
10592.24 secs, 246 evals, 157 steps, improv/step: 0.408 (last = 0.0000), fitness=1.650495096
10636.72 secs, 247 evals, 158 steps, improv/step: 0.411 (last = 1.0000), fitness=1.650495096
10684.02 secs, 248 evals, 159 steps, improv/step: 0.409 (last = 0.0000), fitness=1.650495096
10775.76 secs, 250 evals, 160 steps, improv/step: 0.406 (last = 0.0000), fitness=1.650495096

Optimization stopped after 161 steps and 10818.19 seconds
Termination reason: Max time (10800.0 s) reached
Steps per second = 0.01
Function evals per second = 0.02
Improvements/step = Inf
Total function evaluations = 251


Best candidate found: [0.353587, 0.842904]

Fitness: 1.650495096

