N_Jobs_Total: 144
Starting optimization with optimizer DiffEvoOpt{FitPopulation{Float64}, RadiusLimitedSelector, BlackBoxOptim.AdaptiveDiffEvoRandBin{3}, RandomBound{ContinuousRectSearchSpace}}
0.00 secs, 0 evals, 0 steps
19.50 secs, 2 evals, 1 steps, fitness=3.559071134
3233.11 secs, 303 evals, 214 steps, improv/step: 0.369 (last = 0.0000), fitness=1.281702905
3241.52 secs, 304 evals, 215 steps, improv/step: 0.367 (last = 0.0000), fitness=1.281702905
3253.16 secs, 305 evals, 216 steps, improv/step: 0.370 (last = 1.0000), fitness=1.281702905
3263.59 secs, 306 evals, 217 steps, improv/step: 0.369 (last = 0.0000), fitness=1.281702905
3275.65 secs, 307 evals, 218 steps, improv/step: 0.367 (last = 0.0000), fitness=1.281702905
3279.23 secs, 308 evals, 219 steps, improv/step: 0.365 (last = 0.0000), fitness=1.281702905
3290.95 secs, 309 evals, 220 steps, improv/step: 0.364 (last = 0.0000), fitness=1.281702905
3302.45 secs, 310 evals, 221 steps, improv/step: 0.362 (last = 0.0000), fitness=1.281702905
3307.78 secs, 311 evals, 222 steps, improv/step: 0.360 (last = 0.0000), fitness=1.281702905
3322.36 secs, 313 evals, 223 steps, improv/step: 0.363 (last = 1.0000), fitness=1.281702905
3341.17 secs, 315 evals, 224 steps, improv/step: 0.362 (last = 0.0000), fitness=1.281702905
3353.18 secs, 316 evals, 225 steps, improv/step: 0.360 (last = 0.0000), fitness=1.281702905
3376.58 secs, 318 evals, 226 steps, improv/step: 0.358 (last = 0.0000), fitness=1.281702905
3387.39 secs, 319 evals, 227 steps, improv/step: 0.357 (last = 0.0000), fitness=1.281702905
3410.87 secs, 321 evals, 228 steps, improv/step: 0.355 (last = 0.0000), fitness=1.281702905
3416.27 secs, 322 evals, 229 steps, improv/step: 0.354 (last = 0.0000), fitness=1.281702905
3428.22 secs, 323 evals, 230 steps, improv/step: 0.352 (last = 0.0000), fitness=1.281702905
3450.91 secs, 325 evals, 231 steps, improv/step: 0.355 (last = 1.0000), fitness=1.281702905
3462.25 secs, 326 evals, 232 steps, improv/step: 0.353 (last = 0.0000), fitness=1.281702905
3473.57 secs, 327 evals, 233 steps, improv/step: 0.356 (last = 1.0000), fitness=1.281702905
3497.04 secs, 329 evals, 234 steps, improv/step: 0.359 (last = 1.0000), fitness=1.281702905
3520.18 secs, 331 evals, 235 steps, improv/step: 0.362 (last = 1.0000), fitness=1.281702905
3531.23 secs, 332 evals, 236 steps, improv/step: 0.364 (last = 1.0000), fitness=1.281702905
3540.43 secs, 333 evals, 237 steps, improv/step: 0.363 (last = 0.0000), fitness=1.281702905
3563.76 secs, 335 evals, 238 steps, improv/step: 0.366 (last = 1.0000), fitness=1.281702905
3575.50 secs, 336 evals, 239 steps, improv/step: 0.368 (last = 1.0000), fitness=1.281702905
3587.48 secs, 337 evals, 240 steps, improv/step: 0.371 (last = 1.0000), fitness=1.281702905
3598.76 secs, 338 evals, 241 steps, improv/step: 0.369 (last = 0.0000), fitness=1.281702905
3609.88 secs, 339 evals, 242 steps, improv/step: 0.368 (last = 0.0000), fitness=1.281702905
3615.26 secs, 340 evals, 243 steps, improv/step: 0.366 (last = 0.0000), fitness=1.281702905
3626.57 secs, 341 evals, 244 steps, improv/step: 0.369 (last = 1.0000), fitness=1.281702905
3637.97 secs, 342 evals, 245 steps, improv/step: 0.371 (last = 1.0000), fitness=1.281702905
3649.47 secs, 343 evals, 246 steps, improv/step: 0.370 (last = 0.0000), fitness=1.281702905
3658.46 secs, 344 evals, 247 steps, improv/step: 0.368 (last = 0.0000), fitness=1.281702905
3669.61 secs, 345 evals, 248 steps, improv/step: 0.371 (last = 1.0000), fitness=1.281702905
3691.31 secs, 347 evals, 249 steps, improv/step: 0.373 (last = 1.0000), fitness=1.281702905
3703.67 secs, 348 evals, 250 steps, improv/step: 0.372 (last = 0.0000), fitness=1.281702905
3713.00 secs, 349 evals, 251 steps, improv/step: 0.371 (last = 0.0000), fitness=1.281702905
3724.21 secs, 350 evals, 252 steps, improv/step: 0.373 (last = 1.0000), fitness=1.281702905
