"","Subject","trial.number","Observation.id","food.loc","distract.loc","n_searches","delay","load","baiting","interval","first.search.time","first.search.loc","time.to.search","first.search","food.loc.row","food.loc.col","first.search.row","first.search.col"
"70","Cayenne","10","Cayenne_E1_S2_T1-6","A2","None",1,"L","1",204.36,10,216.32,"A2",11.96,1,"A","2","A","2"
"71","Cayenne","11","Cayenne_E1_S2_T1-6","C2","F3",2,"M","2",258.48,10.56,271.84,"C3",13.36,0,"C","2","C","3"
"72","Cayenne","12","Cayenne_E1_S2_T1-6","D1","A3",3,"S","2",330.28,7.64000000000004,341.4,"D2",11.12,0,"D","1","D","2"
"73","Cayenne","13","Cayenne_E1_S3_T1-6","A2","None",1,"M","1",34.88,8.4,44.92,"A2",10.04,1,"A","2","A","2"
"74","Cayenne","14","Cayenne_E1_S3_T1-6","C2","F3",1,"S","2",102.64,6.56,111,"C2",8.36,1,"C","2","C","2"
"75","Cayenne","15","Cayenne_E1_S3_T1-6","E1","None",2,"L","1",154.36,11.64,170.36,"E3",16,0,"E","1","E","3"
"76","Cayenne","16","Cayenne_E1_S3_T1-6","D3","A1",1,"M","2",225.84,12.28,241.56,"D3",15.72,1,"D","3","D","3"
"77","Cayenne","17","Cayenne_E1_S3_T1-6","B3","E3",1,"L","2",292.24,12.4,307.92,"B3",15.68,1,"B","3","B","3"
"78","Cayenne","18","Cayenne_E1_S3_T1-6","F1","None",3,"S","1",357.88,4.72000000000003,364.68,"F3",6.80000000000001,0,"F","1","F","3"
"79","Cayenne","19","Cayenne_E1_S4_T1-6","A3","None",1,"M","1",32.72,7.72,42.4,"A3",9.68,1,"A","3","A","3"
"80","Cayenne","2","Cayenne_E1_S1_T1-6","D2","None",1,"S","1",83.24,4.68000000000001,90.36,"D2",7.12,1,"D","2","D","2"
"81","Cayenne","20","Cayenne_E1_S4_T1-6","B1","E3",3,"S","2",85.96,7.44000000000001,95.84,"B3",9.88000000000001,0,"B","1","B","3"
"82","Cayenne","21","Cayenne_E1_S4_T1-6","C3","None",1,"L","1",140.52,11.12,153.32,"C3",12.8,1,"C","3","C","3"
"83","Cayenne","22","Cayenne_E1_S4_T1-6","F2","C1",1,"M","2",191.2,9.96000000000001,203.64,"F2",12.44,1,"F","2","F","2"
"84","Cayenne","23","Cayenne_E1_S4_T1-6","E2","None",2,"S","1",241.12,6.56,249.32,"E3",8.19999999999999,0,"E","2","E","3"
"85","Cayenne","24","Cayenne_E1_S4_T1-6","D1","A3",3,"L","2",290.48,11.88,303.84,"D3",13.36,0,"D","1","D","3"
"86","Cayenne","25","Cayenne_E1_S5_T1-6","F1","C3",3,"S","2",39.28,7.88,48.92,"F3",9.64,0,"F","1","F","3"
